Acetobacter_pasteurianus_386B  NC_021991.1
Acetobacter_pasteurianus_IFO_3283-01-42C  NC_017150.1
Acetobacter_pasteurianus_IFO_3283-01  NC_013209.1
Acetobacter_pasteurianus_IFO_3283-03  NC_017100.1
Acetobacter_pasteurianus_IFO_3283-07  NC_017121.1
Acetobacter_pasteurianus_IFO_3283-12  NC_017108.1
Acetobacter_pasteurianus_IFO_3283-22  NC_017125.1
Acetobacter_pasteurianus_IFO_3283-26  NC_017146.1
Acetobacter_pasteurianus_IFO_3283-32  NC_017111.1
Acetobacterium_woodii_DSM_1030  NC_016894.1
Acholeplasma_laidlawii_PG-8A  NC_010163.1
Achromobacter_xylosoxidans_A8  NC_014640.1
Acidiphilium_cryptum_JF-5  NC_009484.1
Acidithiobacillus_ferrivorans_SS3  NC_015942.1
Acidithiobacillus_ferrooxidans_ATCC_23270  NC_011761.1
Acidobacterium_capsulatum_ATCC_51196  NC_012483.1
Acidovorax_citrulli_AAC00-1  NC_008752.1
Acidovorax_sp._JS42  NC_008782.1
Acidovorax_sp._KKS102  NC_018708.1
Acinetobacter_baumannii_BJAB07104  NC_021726.1
Acinetobacter_baumannii_BJAB0715  NC_021733.1
Acinetobacter_baumannii_BJAB0868  NC_021729.1
Acinetobacter_oleivorans_DR1  NC_014259.1
Acinetobacter_sp._ADP1  NC_005966.1
Actinoplanes_friuliensis_DSM_7358  NC_022657.1
Actinoplanes_missouriensis_431  NC_017093.1
Actinoplanes_sp._N902-109  NC_021191.1
Actinoplanes_s  Advenella_kashmirensis_WT001  NC_017964.1
Advenella_mimigardefordensis_DPN7  NZ_CP003915.1
Agrobacterium_fabrum_str._C58  NC_003062.2
Agrobacterium_radiobacter_K84  NC_011985.1
Agrobacterium_tumefaciens_LBA4213_(Ach5)  NZ_CP007225.1
Agrobacterium_tumefaciens_WRT31  NZ_CM002024.1
Agrobacterium_vitis_S4  NC_011989.1
Alicycliphilus_denitrificans_BC  NC_014910.1
Amphibacillus_xylanus_NBRC_15112  NC_018704.1
Amycolatopsis_mediterranei_S699  NC_018266.1
Anabaena_variabilis_ATCC_29413  NC_007413.1
Anaeromyxobacter_dehalogenans_2CP-1  NC_011891.1
Anaeromyxobacter_dehalogenans_2CP-C  NC_007760.1
Anaeromyxobacter_sp._K  NC_011145.1
Arcobacter_nitrofigilis_DSM_7299  NC_014166.1
Arthrobacter_aurescens_TC1  NC_008711.1
Arthrobacter_chlorophenolicus_A6  NC_011886.1
Arthrobacter_phenanthrenivorans_Sphe3  NC_015145.1
Arthrobacter_sp._FB24  NC_008541.1
Azoarcus_sp._BH72  NC_008702.1
Azoarcus_sp._KH32C  NC_020516.1
Azospirillum_brasilense_Sp245  NC_016617.1
Azospirillum_lipoferum_4B  NC_016622.1
Azospirillum_sp._B510  NC_013854.1
Azotobacter_vinelandii_CA  NC_021149.1
Azotobacter_vinelandii_CA6  NC_021150.1
Azotobacter_vinelandii_DJ  NC_012560.1
Bacillus_amyloliquefaciens_CC178  NC_022653.1
Bacillus_amyloliquefaciens_DSM_7  NC_014551.1
Bacillus_amyloliquefaciens_LFB112  NC_023073.1
Bacillus_amyloliquefaciens_LL3  NC_017190.1
Bacillus_amyloliquefaciens_TA208  NC_017188.1
Bacillus_amyloliquefaciens_XH7  NC_017191.1
Bacillus_amyloliquefaciens_Y2  NC_017912.1
Bacillus_anthracis  NZ_CP007704.1
Bacillus_anthracis_52-G  NZ_CM002395.1
Bacillus_anthracis_8903-G  NZ_CM002401.1
Bacillus_anthracis_9080-G  NZ_CM002398.1
Bacillus_anthracis_str._'Ames_Ancestor'  NC_007530.2
Bacillus_anthracis_str._A0248  NC_012659.1
Bacillus_anthracis_str._A16  NZ_CP001970.1
Bacillus_anthracis_str._A16R  NZ_CP001974.1
Bacillus_anthracis_str._H9401  NC_017729.1
Bacillus_anthracis_str._SVA11  NZ_CP006742.1
Bacillus_anthracis_str._Sterne  NC_005945.1
Bacillus_anthracis_str._Vollum  NZ_CP007666.1
Bacillus_atrophaeus_1942  NC_014639.1
Bacillus_cellulosilyticus_DSM_2522  NC_014829.1
Bacillus_cereus_03BB102  NC_012472.1
Bacillus_cereus_AH187  NC_011658.1
Bacillus_cereus_AH820  NC_011773.1
Bacillus_cereus_B4264  NC_011725.1
Bacillus_cereus_E33L  NC_006274.1
Bacillus_cere  Bacillus_cereus_FRI-35  NC_018491.1
Bacillus_cereus_G9842  NC_011772.1
Bacillus_cereus_NC7401  NC_016771.1
Bacillus_cereus_Q1  NC_011969.1
Bacillus_clausii_KSM-K16  NC_006582.1
Bacillus_coagulans_2-6  NC_015634.1
Bacillus_cytotoxicus_NVH_391-98  NC_009674.1
Bacillus_halodurans_C-125  NC_002570.2
Bacillus_lehensis_G1  NZ_CP003923.1
Bacillus_licheniformis_DSM_13  NC_006322.1
Bacillus_megaterium_DSM_319  NC_014103.1
Bacillus_megaterium_QM_B1551  NC_014019.1
Bacillus_methanolicus_MGA3  NZ_CP007739.1
Bacillus_methylotrophicus_AS43.3  NC_019842.1
Bacillus_methylotrophicus_CAU_B946  NC_016784.1
Bacillus_methylotrophicus_FZB42  NC_009725.1
Bacillus_methylotrophicus_SQR9  NZ_CP006890.1
Bacillus_methylotrophicus_UCMB5113  NC_022081.1
Bacillus_methylotrophicus_YAU_B9601-Y2  NC_017061.1
Bacillus_paralicheniformis_ATCC_9945a  NC_021362.1
Bacillus_pseudofirmus_OF4  NC_013791.2
Bacillus_pumilus_SAFR-032  NC_009848.2
Bacillus_sp._1NLA3E  NC_021171.1
Bacillus_sp._JS  NC_017743.1
Bacillus_subtilis_BSn5  NC_014976.1
Bacillus_subtilis_XF-1  NC_020244.1
Bacillus_subtilis_subsp._natto_BEST195  NC_017196.2
Bacillus_subtilis_subsp._spizizenii_TU-B-10  NC_016047.1
Bacillus_subtilis_subsp._spizizenii_str._W23  NC_014479.1
Bacillus_subtilis_subsp._subtilis_6051-HGW  NC_020507.1
Bacillus_subtilis_subsp._subtilis_str._168  NC_000964.3
Bacillus_subtilis_subsp._subtilis_str._AG1839  NZ_CP008698.1
Bacillus_subtilis_subsp._subtilis_str._BAB-1  NC_020832.1
Bacillus_subtilis_subsp._subtilis_str._JH64  NZ_CP007800.1
Bacillus_subtilis_subsp._subtilis_str._O  NZ_CP007409.1
Bacillus_subtilis_subsp._subtilis_str._RO-NN-1  NC_017195.1
Bacillus_thuringiensis_BMB171  NC_014171.1
Bacillus_thuringiensis_Bt407  NC_018877.1
Bacillus_thuringiensis_HD-771  NC_018500.1
